,title,date,content
10,나이키 신발 하나도 없으신분 있나요,2021.08.06.,전 하나도 없어요.. 나이키가 대세라고는 하는데.. 전 나이키 신발보면 예뻐보여도 제가 코디할 생각하면 뇌정지.. 어떻게 신어야될지도 모르겠고 그렇네융 다들 나이키 하나씩은 있으신가요?
11,아소스 직구방법 70% 오프세일 시작 나이키 신발 득템하세요!,2021.06.08.,"운동복이나 신발을 지름할까 한다면 70% 오프세일할때 저렴하게 득템해보셔도 괜찮을 듯 하네요^^ 인기브랜드인 나이키부터 아디다스, 반스, 뉴발 등 다양한 제품들로 구성되어 있어서 본인이 좋아하는 취행에 맞게..."
12,트레이닝용 나이키 신발 추천 해주세요~,2021.08.17.,"제목 그대로 트레이닝 셋업에 입을 신발 추천 부탁드립니다 나이키 였으면 좋겠고요 트레이닝 셋업이나 아니면 그냥 편하게 운동복에 입을 편한 신발이요 나이키 매장에 가서 런닝, 트레이닝 카테고리에 가면 신었을땐..."
13,트레이닝 신발 추천 나이키 메트콘7 개봉기,2021.08.16.,나이키 메트콘7 X 모델은 조금 더 매쉬재질이라고 해야하는지 통풍도 더 잘 되는것 같고 그만큼 편했습니다. 평소에도 플라이니트 재질의 신발만 신는 저로서는 불편감 없이 아주 편하게 느껴졌습니다. 보통 나이키 신발을...
14,나이키신발ㄱㄹㄹ,2021.07.23.,상의 자바나스 하의 폴로 신발 나이키 스펙 181cm 76kg 나이키 아울렛에서 싸게산 나이키신발입니다 오늘도 엄청덥습니다 디매형님누나들 더워도 이열치열 불타는밤 보내세요
15,나이키신발세탁 클리너로 쉽게 해결했어요,2021.04.19.,저는 특히 나이키 브랜드를 좋아해서 여러 종류의 나이키신발을 가지고 있어요. 클래식하면서도 깔끔한... 제가 오늘 소개해 볼 제품은 나이키신발세탁을 위해 준비한 만듬 신발 케어 용품이에요. 나이키신발 뿐만 아니라...
16,나이키 에어포스 1'07 피스마이너스원2 지디신발 언박싱후기,2021.02.10.,너무나도 핫하고 유명한 지디신발 나이키 에어포스 1 '07 피스마이너스원2의 언박싱 포스팅을 하려고 돌아왔어요. 현재 리셀가만 해도 3-4배가 넘는 가격으로 거래가 될 만큼 아직까지도 셀럽들에게 굉장한 사랑을 받고...
17,나이키 에어리프트 여름에 최고인 신발!,2021.05.27.,ㅎㅎ 오늘의 신발 리뷰 포스팅은 나이키 에어리프트입니다! 조금 부족하더라도 끝까지 읽어주시면... 저는 평소 나이키 신발은 270 사이즈를 신는데 280 사이즈를 신으니까 너무 편하고 좋았습니다. 전체적으로 메쉬 소재를...
18,나이키 운동화 | 에어줌 슈퍼랩2 나이키신발 실착후기,2021.03.17.,신발장에 있는 신발들도 있어서.. 두세번 실패후에는 무조건 신어보고 구입.. 온라인에서 구입을 하더라도... #나이키운동화 #나이키 #나이키신발 #나이키에어줌 #나이키슈퍼줌2 #에어줌 #슈퍼줌2 #나이키줌 #나이키워킹화
19,"나이키 줌X 인빈서블 런 플라이니트 (Nike... Beach"") 후기도 많고..정말 발 편한 신발!",2021.07.16.,편한 신발! 후기도 많음!! 나이키의 에어 쿠셔닝은 정말 편하다고 할 수 있으나.. 가장 유명한... 아울렛이나 나이키 에너지위크와 같은 세일폭이 엄청 커질 때 고민없이 질러볼만한 나이키신발이 될...
20,연예인들의 신발 나이키 트래비스스캇 프라그먼트,5일 전,어느 나이키 신발보다도 핫한 신발! 요즘 사카이 콜라보도 그렇고 3자 협업을 밀고 있는 나이키인데 가장 영향력 있는 미국 래퍼 트래비스스캇과 일본 디자이너 후지와라 히로시가 전개하는 브랜드 프라그먼트 그리고...
21,"지금까지 내곁에 있어준 고마운 신발, 나이키",2021.08.15.,이렇게 나이키 신발이 곱게 나와요 신발의 모습입니다. 지금 제가 다이소에서 대여섯시간 서 있잖아요. 사놓고 봐보니 매장의 언니들이 나이키 제품을 많이 신더라구요. 쿠션감이 좋아서 많이들 신는 것 같아요. 다들...
22,"스캇 프라그먼트 하이 코디샷 및 최근 착샷(루이비통, 디올, 구찌, 프라다 및 나이키 신발)",2021.08.12.,스캇 프라그먼트 하이 (나이키 x 스캇 x 프라그먼트 조던 1 레트로 하이 밀리터리 블루) 조던 x... 어제 오늘 서울덩크랑 오프화이트 덩크50로 정신이 없는 것 같아요 이쁜 신발들이 발매되서 행복한 요즘...
23,나이키 신발 수선,2021.07.30.,"나이키 인빈서블 런 신발을 올해 초에 매물로 구매했는데, 자전거를 타다가 페달에 찍혀서 뒤에 폼 부분이 찢어졌는데, 이런거 수선은 어디서 하나요? 나이키 공홈에 문의 넣었는데 온라인으로 구매한 상품에..."
24,나이키 운동화 웨어올데이 신발 오래신는 방법,2021.08.05.,"하이힐을 신는 여성분들에 대한 존경심을 담으면서 나이키 운동화 웨어올데이의 후기를 마친다. 내가 누누이 강조하지만 신발은 나이키, 스포츠웨어는 아디다스가 최고! #나이키운동화 #나이키 #웨어올데이"
25,나이키 신발 AS 수선 후기,2021.05.02.,제 신발이 저렇게 안쪽이 해지는 경우가 많은 것 같아요. 그래서 자주 나이키 신발 수선을 받는 편인데 비교적 나이키 AS는 잘 되어 있는 편인 것 같아요. 경우에 따라 무료수선이 가능한 경우도 있다고 하는데 그 기간이...
26,나이키 신발이 도착했네용,2021.07.21.,"【쇼핑몰】 나이키 【브랜드】 나이키 【상품명】 데이브레이크, 에어리프트브리드 【가격】 59000... com/nyblog/975567 【사이즈리뷰】 데이브레이크 235, 에어리프트 240 【상품사진】 이런 족발 신발은 첨인데 발가락..."
27,나이키 에어리프트 베이비 150/ 브리드 (엄마랑 아기 여름 신발),2021.07.23.,"나이키 에어리프트 브리드 화이트 240 엄마랑 아기랑 여름에 신기 좋은 발이 시원한 운동화 신발! 나이키 에어리프트 베이비, 어른들을 위한 나이키 에어리프트 브리드 여름 열심히 신고 다니고 있어요~ 처음에..."
28,생지데님에 나이키신발 어떤게 좋을까요?,5일 전,"패션질문 게시판 이용시, 관련사진 첨부 의무 --------------------------------------------- 관련 사진 ▷ 이런 와이드핏 생지 데님에 나이키 와플원 신으면 괜찮나요? 제가 와이드청바지 즐겨 입는데 어울리는 나이키 신발..."
29,나혼산 오상욱 커피머신 운동화 나이키 신발 펜싱화 티셔츠 팔찌 모자 나혼자산다 409회,2021.08.21.,나혼산오상욱신발 #나혼산오상욱나이키신발 #나혼산오상욱펜싱화 #나혼산오상욱모자 #나혼산오상욱팔찌... 특징이다 >>가벼운 나이키 펜싱화 이번 나혼자산다에서는 도쿄올림픽 펜싱 금메달리스트 오상욱 님이 나왔다...
30,나이키 신발 업템포 96 빨강,2021.07.28.,어렸을때 너무나 신고 싶었었던 신발이었거든요... 바닥에도 이렇게 나이키 스우시가 박혀있고 뒷꿈치... 가만 보면서 느낀거지만 요즘나오는 나이키 신발 보다 예전 90년도에 나왔던 신발들이 역시 훨씬 더 이쁜것...
31,꽉끈 지드래곤 신발끈묶는법 으로 나이키덩크 신발 예쁘게 묶어보자,2일 전,왠지 기대가 먼저되는 #신발끈묶는법 이 되었어요 준비된 나이키덩크로우 그리고 덩크신발끈 준비된 신발은 나이키덩크로우서울 제품이구요 또한 준비된 #나이키덩크신발끈 은 넓이 1.8cm 길이는 150cm 제품으로...
32,[sacai] 나이키 사카이 콜라보 신발 구하는 방법,2021.07.29.,"사카이는 여성 니트 브랜드로 시작했으나, 2015년 나이키와 콜라보하면서 스포티한 스타일로 주목을 받기 시작했는데요, 나이키 신발과 일본 패션에 관심있으신 분들이라면 나이키 사카이 콜라보 신발에 높은 관심을..."
33,평소에도 신을 수 있는 나이키아쿠아리프트신발(여자용),2021.07.06.,나이키 사진 : #NOMAN_DS03+C | #Canon_EOS_RP | #Canon_RF_24_105mm_F4_L_IS_USM | #iPhone_12_mini 분류 : #나이키 #나이키운동화 #여자운동화 #여자나이키운동화 #나이키아쿠아리프트신발 #아쿠아신발 #나이키아쿠아 제품명 : 나이키 신발...
34,[신발] 나이키 에어조던1 레트로 로우 x 트레비스스캇 x 프라그먼트 언박싱,2021.08.23.,그 신발 나이키 에어조던1 레트로 로우 x 트레비스스캇 x 프라그먼트 언박싱을 해볼까해요 참고로 이 제품은 해외 사이트에 응모해서 극소수 당첨되었다고 하고 직구로 받은 제품입니다 한국에서 제품이 당첨...
35,나이키 신발 질문,5일 전,● 모든 게시물은 사진 + 글 첨부 필수 & 질문 게시글 삭제시 활동정지 킬샷 us9 크고 나이키97 us 9.5 작고 뉴발 993 26.5 선택 발볼 넓은걸로 선택함 발볼크고 킬샷 길이가 길고 나이키 97 발가락 아프고 뉴발 발볼넓다고...
36,파페치 나이키 에어포스 신발과 알렉산더 맥퀸 클러치,2021.07.26.,이럴때 아니면 쇼핑하겠다고 말하지 못하는 종류이다 보니 신랑이 축하한다는 한마디 하면 바로 계산하기 위해 나이키 에어포스 신발과 알렉산더 맥퀸 클러치를 장바구니에 두고 있었답니다 그렇게 당일날 계산까지 해서...
37,"나이키 에어리프트 브리드 , 조금 족발같지만 가볍고 편한 신발",2021.06.29.,다니는 #나이키신발 #나이키 #에어리프트브리드 를 소개 시켜드리려고 합니당ㅎㅎ 친구가 신고 나왔는데 너무 편하다고 칭찬해서 저도 샀는데 저도 대만족하며 신고 있는 신발이에영!!! 인터넷으로 주문했어용...
38,나이키 에어리프트 타비슈즈 족발신발 여름 데일리슈즈로 추천!,2021.05.27.,맨발로 주로 신을 분들은 정사이즈 추천드리고요 구매 고민 중이라면 전 추천하고 싶네요! #나이키에어리프트 #나이키에어리프트타비 #나이키족발신발 #나이키에어프리프트브리드 #나이키신발 #나이키타비 #나이키샌들
39,2021년 2월초 나이키 출시예정 신발 리스트,2021.02.03.,2021년 2월초 나이키 출시예정 신발 리스트 !!! 드로우 추첨이 아닌 나이키 온라인 홈페이지에서... 보이는 나이키 에어조던5 입니다 2월초 출시되는 나이키 신발리스트 입니다 드로우가 아닌 시간에 맞춰서...
40,나이키 에어리프트 사이즈팁 차정원 족발신발,2021.04.14.,#나이키신발 #차정원 #족발신발 #타비슈즈 #나이키에어리프트 #나이키에어리프트브리드 #차정원운동화 #메종마르지엘라 #나이키샌들 #여름신발 #타비 #나이키공홈 #구매대행 #직구 #내돈내사 #쇼핑후기 작년부터 사고...
41,맹보가 모아온 크로스핏 최강자의 트레이닝 신발 나이키 메트콘 MF 시리즈,2021.07.19.,NIKE METCON MF 한결같은 나이키 사랑 크로스핏을 하면서도 나이키의 트레이닝화 메트콘 첫 번째 모델부터... 그리고 발매한지 얼마 안 된 메트콘7 MF 다섯 번째 우승 이후 은퇴를 하고 발매된 제품 더욱이 특별한 신발이...
42,나만 몰랐던 나이키 한정판 신발 응모……,2021.08.13.,나이키 신발 한정판 응모!!!!! 아니 서버가 다운될정도로 사람들이 알고있는데 나는 왜 이제서야 안것인가??... GD나이키 콜라보 신발은 리셀가 400까지 갔단다 왜 나는 말안해줘!!!!! 나만 뒤쳐져 ㅠㅠㅠㅠㅠㅠ 응모...
43,"나이키신발(국뽕, 사카이와플,스투시) 당첨후기",2021.08.23.,나이키는 한정판신발을 매장가서 살수있는게아니고 응모해서 당첨이 되어야지만 정가에 구매가가능하며... 이뿌네요 다음번 저의 신발이 되어줄 나이키신발은 어떤신발일까요~~ 옵덩하나만 던져주심 증말 좋을텐데 ㅎㅎㅎ
44,"딸이랑 커플신발, 나이키 에어리프트 우먼, 키즈 사이즈팁",2021.06.21.,"제꼬는 #나이키에어리프트브리드 마르지엘라가 떠오르는 ㅋㅋㅋㅋㅋ#타비샌들 신으니 더 맘에듬 .. 왜 고민했니 요거 사이즈는 US6 230입니다 평소 신발 사이즈는 저는 발볼있구 , 꼼데가르송 컨버스 척테일러 - 36.5 반스..."
45,[5월 경품 이벤트] 2021 밤잼 유튜브 정주행 하고 나이키 신발 받자!,2021.05.17.,"이벤트 상품 나이키 신발 너무 예쁜데요?! Mr.Lee도 탐나는 대박 이벤트에 여러분들도 꼭 참여해 보시고, 이쁜 신발 받아가시길 바랍니다(´▽`ʃ♡ƪ) 비보이팀 진조크루 공식 홈페이지 바로 가기 *공연 섭외..."
46,"(진행중) 신상!! 나이키 에어리프트 화이트/블랙 NIKE 타비슈즈,족발신발",2021.06.05.,"ㅎㅎ 대충보면 색상만 달라보이지만 자세히보면 신발 앞등 나이키 로고랑 뒤에 NIKE 로고 디테일이 다른데, 개인적으로는 블랙이 마음에 들어 주문 넣었네요♡ 착용사진은 신상 화이트 컬러로 보여드리구요 :) 올..."
47,"베이비슈즈 / 아기신발 / 나이키포스 ,에어리프트",2021.08.20.,출산선물로 함께 선물하면 더 좋겠네요 ~ 아가신발은 나이키 행사기간에 저렴하게 득템해보심 어떨까요 #나이키신발 #아가신발 #에어리프트 #에어포스 #아기신발 #출산선물 #아기신발 #여아운동화
48,[리액트 이스케이프 런] 나이키 신상 신발 추천,2021.03.14.,(그나저나 사진을 좀 배워야겠닼ㅋㅋ) #나이키리액트이스케이프 #화이트데이선물추천 #나이키런링화 #캐주얼신발 #세미캐주얼신발 #나이키신발추천 #나이키운동화추천 #여자나이키운동화 #나이키편한운동화 #나이키선물
49,"나이키 에어 테일윈드 79 검흰, 나이키 신발, 나이키 데일리 운동화, 데일리 슈즈, 내돈내산, 구매후기",2021.04.22.,요새 기본템 병에 걸려서 구매한 나이키 테일윈드 79 검흰!! 이쁘고 안 이쁘고를 떠나 그냥 기본에 충실한... 집에 와서 신고 바로 나가려고 택 뜯고 신발끈 다시 묶고 하다가 아차! 싶어 포스팅을 위해 급하게 사진 찍음...
50,[신발 리뷰] NO.100 - 나이키X사카이 베이퍼와플 노초 솔직 리뷰 !! 이거 물건이구만,2021.08.21.,[신발 리뷰] NO.100 - 나이키X사카이 베이퍼와플 노초 솔직 리뷰 !! 이거 물건이구만 안녕하세요. 패션을 좋아하는 빡동입니다. 오늘 소개해드릴 슈즈는 바로 나이키X사카이 베이퍼와플 노초 칼라에요~ 나이키와 사카이...
51,"나이키 킬샷 2 힘들게 겟한 보람이 있는 신발이에요,,",2021.03.22.,"겟한 나이키 킬샷 2,,, 받아보니 미웠던 맘이 다 녹아내리네요오 제 기준 나이키 신발 중 제일... 250이상 신으시는 분 계시면 이 신발,, 구매해주세요,,, 실물이 더 예뻐요 대강추드립니댜 !!! 선물용으로두 + 킬샷..."
52,구미호뎐 11회 이연 이동욱 신발 운동화는 나이키 에어테일윈드79!?,2020.11.11.,신발이 있겠지만 역시 나이키는 가장 기본 제품이 하나 있으면 어디든지 잘 어울리고 특히 슬랙스에 잘 어울려서 예쁜 것 같아요 전에는 도깨비에서 공유가 저런 느낌으로 신기도 했었죠 이동욱이 신은 이 나이키 신발은...
53,▣나이키 신발을 또 샀습니다▣,2021.08.17.,▣나이키 신발을 또 샀습니다▣ 나이키 정품 DA8291-101 갤러리아 타임월드를 방문했습니다. 그리고 나이키 운동화를 샀습니다. ▣ 나이키 정품 DA8291-101 ▣ 나이키 정품 DA8291-101 ▣ 나이키 정품 DA8291-101...
54,신발_나이키 (카페라떼 에디션),2021.05.21.,아우님께서 나이키 관련 회사에 근무하시다보니 선물로 나이키 신발을 보내준다. 주로 아이들 신발과 안사람 신발을 선물받았었는데 이번 내 생일에... 내 신발을 선물로 보냈다. 운동화를 평소에 신을 일이 없고...
55,생후 545일 : 어린이날 선물로 받은 유아신발 / 나이키운동화 추천 플렉스 플러스 너무 예쁘자나,2021.05.12.,신발을 싣고 집으러 돌아오는 길 힘이 들었는지 잠이 들어버렸네요 #조카선물 #어린이날선물 #신발은필수 #나이키신발 #나이키운동화 #플렉스플러스 #아기신발 #유아신발 #어린이신발 파트너스 활동을 통해 일정액의...
56,여름 신발 샌들 추천 나이키 에어리프트 BR,2021.06.10.,개인적으로는 신발 색상도 블랙 보다는 화이트로 나이키 에어리프트 BR 여름 신발 샌들 추천 해요:) #나이키샌들 #여름신발추천 #샌들추천 #나이키에어리프트 #에어리프트화이트 #나이키 #신발
57,새해 첫 새 신발로 나이키 에어맥스 90 LTR 장만!,2021.03.04.,나이키에어맥스올검 #나이키에어맥스블랙 #나이키신발 #에어맥스 #에어맥스LTR #에어맥스90 #에어맥스90LTR #나이키에어맥스90 #나이키에어맥스90LTR #에어맥스90블랙 #나이키신발추천 #신발선물 #에어맥스착샷
58,나이키 데이브레이크 아모리블루 구매 후기 / 데이브레이크 사이즈 팁 / 나이키 신발 추천,2021.03.20.,아울렛에서 30% 할인한 금액에 구매했다. #나이키데이브레이크 #나이키데이브레이크사이즈 #데이브레이크 #테일윈드 #나이키신발추천 #나이키남자신발 #나이키여자신발
59,신발은 나이키인가요??,2021.04.17.,빈티지 아디다스하면 딱떠오르는 신발은 슈퍼스타 스탠스미스 둘뿐인데 빈티지나이키하면 나오는신발은 수두륵하네요 그런의미에서의 나이키 신발과 빈티지 반스보고가시죠 ● 모든 게시물은 사진 + 글 첨부 필수 & 질문...
60,나이키 신발 데이브레이크 흰빨 편하고 예뻐요.,2021.04.26.,신던 사이즈 사시면 될거 같아요~ 푹신푹신하니 아주 편한 신발! 가격은 10~11만원정도로 알고있어요 제 기준에서는 참 좋은 신발 같아요 흰빨을 좋아하시고 가격이 부담되지 않으시면 나이키 데이브레이크 괜찮은거 같습니다~
61,나이키 신발: 에어맥스 97,2020.12.25.,"신발 핏: 정말 키높이 나이키 운동화를 착용하고 싶을 때 추천하는 시리즈이다. 나는 착화감 보다는 내구성, 키높이에 중점을 두고 구매할꺼야 하는 분들에게 추천하며, 레깅스, 청바지, 조거팬츠 모두다 어울리는 신발..."
62,20210520 나이키 신발 하나 구매했어요!!,2021.05.20.,"이번에는 왠지 나이키를 신어볼까라는 마음이 생기더라구요. 처음에는 이번에 와플원? 이라는 신발이 신상으로 나왔고, 좋다는 평이 많아서 그걸로 살까 고민을 했었는데 막상 신어보니 옆 망사가 살짝 거슬리고..."
63,놀면 뭐하니 신유빈 신발 운동화 나이키 귀걸이 목걸이 유재석 옷 카라티 놀면뭐하니 409회,2021.08.21.,태극 마크를 닮은 이 신발 애국심 넘치는 신발이네요~ 신유빈 나이키 신발 보러 가기!! 신유빈 귀걸이 / 목걸이 신유빈님 귀걸이 목걸이 예쁘네요~ 스톤헨지 귀걸이 목걸이에요! 알고있지만 한소희님이 자주 착용하는...
64,나이키 에어맥스 ZM950 착용 후기_나이키 신발 추천,2021.03.16.,"나온 신발이라 일단 뒷꿈치의 에어는 적당하게 말랑말랑하며, 앞꿈치의 줌(ZOOM)은 쫀득쫀득합니다.... ZM950 / 나이키 신발 추천 / 맥스 950 / 나이키950 나이키 에어 운동화 / 나이키 에어 / 나이키 맥스 / 나이키ZM..."
65,첫 슈테크 후기 - 크림 앱으로 나이키 신발 판매한 후기,2021.08.20.,어느날 별 생각없이 나이키 응모를 했다가 당첨되어버렸고 나는 이걸 어디에 팔아야되나 알아보다가 크림이라는 앱을 알게 되었다. 블로그에 당첨된 신발 실물 후기 겸 크림에 등록한 후기도 올렸다. 여튼 당시에는...
66,나이키 신발 응모하는 법 - SNKRS,2021.08.19.,"안녕하세요 꿈꾸는 이사원이에요 나이키 신발을 응모하는 법을 모르시는 분들이 많아 나이키 신발 응모... 같이 나이키와 유명 디자이너, 브랜드가 콜라보 하면 가치가 높겠죠??? 마음에 드는 신발이 있다면 클릭하여..."
67,처음써보는 신발 리뷰! 나이키 코트 레거시 CU4150-103,2021.08.19.,내돈내산 '나이키 코트레거시 CU4150-103 흰검? 검흰?' 모델입니다~! 데일리 스니커즈를 찾다가 너무 이뻐서... 평소 일반 신발은 255~260을 신는 편인데요. 나이키 신발은 255로 주문해서 신으니 불편함 없이 딱 좋습니다....
68,나이키신발 안신는것 정리...^^,2021.03.03.,【쇼핑몰】 마이홈 【브랜드】 나이키 【상품명】 【실사】 【리뷰】 퇴근하고 박스 정리 하면서 간단하게 신발도 정리했습니다 일단 새제품만 정리해봤어요...신발을 험하게 신어서 신은 제품들은 고스란히 신발장으로...
69,여름에 어울릴 나이키신발,2021.05.15.,구매상품명: 나이키 맨줌2k 5.구매제품사진(or착샷) 3장 이상 첨부 필수 https://cafe.naver.com/ttoksun2/2330798 6.구매후기 올해 40인 신랑 좀 어려보이라고 젊은 갬성 신발 사드림ㅋ 귀엽고 이뻐요 오픈박스라...
70,"아디다스,나이키 신발 베이비 사이즈 어디가서 사야될까여???ㅠㅠ",2021.08.14.,오늘 현백 가봤는데 아디다스키즈는130부터고 나이키는 120있는데 예쁜게 없네요...ㅠㅠㅠㅠ 시내에 매장가면 있을까여???
71,나이키 쪼리 개시(그래봤자 과자만 사온 슬픈사연..),2021.08.11.,【상의】 나이키 【하의】 나이키 【신발】 나이키 【악세사리】 나이키 【이야기】 저는 오늘도 나이키!! 바지 기모인데 얇디 얇은 기모라 지금도 입고다니는 저 시롼가요?! 그래도 저만한 바지가 없다며.. 이 바지...
72,[나이키신발]코트 레거시 CZ0294-100,2021.07.27.,"원래 신던 신발이 여름에 신기엔 더워서 이전부터 계속 눈여겨보았던 나이키 코트 레거시 신발을 샀다!... 에어솔때문에 편했고, 흰 신발이라서 활용도도 높을 거 같다. 다음에 또 언젠가 나이키 신발 후기 남겨야지"
73,청주 롯데아울렛 나이키 (신발 사진 모두 찍어왔어요)(+바누아투),5일 전,오늘은 청주 비하동에 위치한 롯데아울렛 청주점 나이키 매장에 다녀왔어요. 이번주말까지 (~8월 29일) 15% 추가 할인 기간이에요. 신발 필요하신 분은 주말에 다녀오시면 좋을 것 같아요. 어떤 신발이 있었는지 모두 사진...
74,노드스트롬랙에서 나이키신발 바비브라운 아이쉐도우 버버리 선글라스 샀어요,2021.04.19.,버버리 【제품명】 나이키 스니커즈.바비브라운 아이쉐도우.버버리 선글라스 【가격】 $49.97 $22.47 $89.97 【주문날짜】 21.4.19 【상품이미지】 【주문날짜 보이게 주문내역첨부】 【주문리뷰+쇼핑팁】 신발을 험하게...
75,"나이키 에어리프트 키즈 사이즈팁 230 240 비교, 발 작아보이는 여자신발 추천 _ 타비슈즈 세일",2021.08.21.,"데일리슈즈 나이키 족발신발, 타비슈즈로 되게 많이 봤는데.. 나에게 족발신발은 부담스러워서리.. 사야... 비 오는 날엔 절대 안 신었다 발도 작아보이고 가벼워서 나이키 신발 산 것 중에 만족감 300% 소듕한 에어리프트..."
76,나이키 신발 사이즈,19시간 전,나이키 신발 박스에 26.5cm라고 적혀있었는데 그럼 265 아닌가요...
77,[나이키 데이브레이크] '데저트 샌드' 후기♪ 오렌지 신발은 가을에 포인트로 최고bb!!!,2021.08.21.,'데저트 샌드' 신발 후기입니다>< 시작부터 착샷~^^ 나이키를 좋아하지만 데이브레이크 신발은 처음... 혹시 몰라 꼼꼼히 확인 했는데 이상한 부분 하나도 없음 나이키 신발은 이쁘고 편하고 데이브레이크 실물 진짜 귀엽고...
78,나이키 신발 코트 레거시 캔버스 기본템으로 추천,7일 전,하얀색 캔버스화 고민중이셨다면 나이키 CZ0294-100 추천드려요~! 네이버에 검색해보니 보통 4만원 대에 구매할 수 있더라구요. 4만원대에 착화감 좋은 신발 구매해보시는 것도 좋을 것 같아요. 읽어주셔서 감사합니다....
79,[나이키/신발] 에어 베이퍼맥스 2021 플라이니트,2021.08.19.,오늘 후기를 쓸 신발은 나이키 에어 베이퍼맥스 2021 블랙 나이키 공홈 사진 훔쳐옴 DC4112-002 발목 인대가 찢어졌는데 편한 운동화가 없길래 새로 구입했다! (인대는 좋은 핑계였을지도••) 이번에 신발을 고른 기준은 1....
80,"연예인 류준열 사복, 패션, 나이키 신발, 운동화, 매니아, SB 블레이져, 에어맥스95, 덩크 하이, 사카이...",어제,오늘은 이청아님에 이어서 연예인 나이키매니아~ 나이키 마니아 패션피플인 류준열님의 신발입니다 나이키 좋아하시는 분들에게는 유명하죠!!! 진짜 신발 종류가 굉장히 많고 제가 사고 싶은 것들로 가득한 신발장 모든...
81,<인생 첫 나이키 신발 응모 당첨!+방법소개> 나이키(Nike)x 트래비스 스캇(Travis Scott) x...,5일 전,되면 신발을 만들어보고 싶다는 마음을 항상 가지고 있는데요. 오늘은 인생 첫 나이키 신발 응모 당첨된 에피소드를 이야기 드리려고 합니다. 나이키 공식 홈페이지에서는 새로 나온 모델과 한정판 모델을 출시할...
